S.No  Name       Maths Physics Chemistry Economics Astronomy
-------------------------------------------------------------
0)    Jxgyr      60    61      51        42        74       
1)    Teky       23    42      82        32        76       
2)    Wehwsay    33    81      83        37        98       
3)    Vpyimj     27    42      93        23        82       
4)    Rgmdz      40    58      80        35        87       
5)    Muteqk     55    78      63        58        55       
6)    Mqmc       41    73      74        62        97       
7)    Auvsn      58    94      43        51        30       
8)    Dmrodtenez 23    66      63        25        67       
9)    Edaksfxn   41    61      43        71        42       
10)   Fvaznlt    70    21      32        60        79       
11)   Hcbvindm   34    24      38        58        61       
12)   Phzi       95    73      59        82        37       
13)   Mdvxdglrx  31    38      57        20        64       
14)   Hzodef     71    68      26        63        62       
15)   Qdhwswv    31    95      89        29        100      
16)   Elgmlmxnd  36    25      50        63        21       
17)   Prfht      29    95      38        20        55       
18)   Wnchk      100   82      72        31        53       
19)   Vfkvhsccy  98    91      36        21        65       
20)   Rkmvf      88    40      48        82        42       
21)   Llvrshjrqx 77    87      39        54        35       
22)   Njakhko    69    67      70        65        90       
23)   Sjailz     53    38      71        46        41       
24)   Xmukvfby   81    33      23        40        97       
25)   Mxkhogsf   91    61      35        95        56       
26)   Ywiotre    29    27      100       57        46       
27)   Lthmh      95    56      22        62        100      
28)   Mbjwjg     99    100     69        22        32       
29)   Cgisim     43    99      32        44        89       
30)   Tesmudb    76    22      26        53        34       
31)   Isasurs    56    89      96        28        78       
32)   Yxejmwnxl  30    78      97        59        23       
33)   Lubn       56    42      61        27        95       
34)   Tdjajz     89    41      78        73        55       
35)   Qncq       64    53      64        34        46       
36)   Ntmihe     68    96      85        20        81       
37)   Cdmh       37    39      25        83        37       
38)   Cxad       34    20      36        59        56       
39)   Ylwc       22    36      48        58        28       
40)   Kndgx      54    81      53        41        25       
41)   Apyohv     27    59      37        26        39       
42)   Jprkujol   61    99      32        29        20       
43)   Srdxbpsm   67    75      89        81        100      
44)   Agqdmtce   73    69      20        39        39       
45)   Wepkj      44    22      62        84        91       
46)   Lilp       75    85      39        74        66       
47)   Rrngxes    64    88      37        59        36       
48)   Rwcsk      62    76      54        57        54       
49)   Aelkcj     29    70      72        62        40       
50)   Udydwa     93    93      74        30        63       
51)   Wifp       68    81      80        83        41       
52)   Vxsb       25    92      72        35        75       
53)   Klhlk      30    33      65        22        67       
54)   Jsicyqwqug 82    51      79        77        68       
55)   Zhjycuizly 34    27      38        57        83       
56)   Shvjoolhqw 56    62      79        57        71       
57)   Sdvczx     79    20      21        85        94       
58)   Ztwtejt    63    39      43        49        24       
59)   Dueucbkb   36    83      86        94        50       
60)   Cwvornk    86    72      25        100       45       
61)   Whbsipkj   78    86      80        89        21       
62)   Umlmzdxk   92    78      22        54        42       
63)   Zzhruqc    44    68      78        54        87       
64)   Exve       97    51      85        35        78       
65)   Bkcyodosg  20    43      30        42        64       
66)   Ryhbm      79    92      44        82        95       
67)   Vtlkp      79    41      32        77        27       
68)   Tijmsx     81    94      75        76        37       
69)   Pbircu     73    87      80        90        85       
70)   Amjgk      78    88      71        48        76       
71)   Qxwbpeecc  93    82      89        65        50       
72)   Mpqlvehwdq 45    46      50        26        94       
73)   Crzri      96    63      29        81        47       
74)   Magsvudel  67    60      47        64        100      
75)   Iuwcwohdee 35    53      29        94        58       
76)   Auigjfqrww 31    43      86        48        92       
77)   Vmruzeg    70    34      42        21        97       
78)   Rpxnnvwd   41    44      100       76        23       
79)   Aaozpb     74    58      29        72        73       
80)   Tnrccxpw   86    31      61        64        73       
81)   Tahrwxo    54    54      89        35        53       
82)   Nrvfccyr   41    64      88        34        33       
83)   Rocxsiy    63    58      78        82        22       
84)   Sdmmlubh   30    96      40        69        70       
85)   Qkbyek     100   73      31        91        99       
86)   Elwlopkr   88    69      97        80        78       
87)   Wlkvr      89    91      24        31        32       
88)   Givvxc     86    100     98        37        45       
89)   Vdaikjtmt  27    44      85        49        58       
90)   Vxxic      62    84      50        75        85       
91)   Jvmuujwclr 21    73      98        85        59       
92)   Ljry       95    83      70        68        90       
93)   Mbuuz      37    32      34        46        83       
94)   Kjzfz      84    34      84        79        89       
95)   Httexdbs   21    92      78        96        47       
96)   Uyipwber   30    99      98        72        65       
97)   Pwrdefh    83    75      97        69        93       
98)   Yjemlu     37    52      43        27        44       
99)   Olchtdcis  25    42      81        21        48       
100)  Almpb      39    64      21        49        83       
101)  Wlaptwphd  64    25      42        69        77       
102)  Wmlj       43    61      49        75        95       
103)  Mwkehpq    78    56      69        30        44       
104)  Jwaa       90    73      68        36        96       
105)  Aeijlxut   75    86      27        86        56       
106)  Squaoej    94    24      72        22        26       
107)  Cyyqyamz   86    22      90        87        86       
108)  Dldyng     79    62      24        33        84       
109)  Mbpecdq    32    83      42        88        54       
110)  Pmdtldm    39    65      41        22        61       
111)  Tkul       57    59      74        47        38       
112)  Miyntcr    37    31      28        96        48       
113)  Zhwoji     45    87      26        38        85       
114)  Ybxz       72    68      88        62        100      
115)  Cbkukrw    40    50      27        65        40       
116)  Tlvlimof   80    90      47        85        60       
117)  Qlydgta    79    67      70        33        83       
118)  Zlrosavxf  93    77      77        25        83       
119)  Ykorrg     22    88      64        85        95       
120)  Mrjqcxwum  70    32      38        58        45       
121)  Hxgffj     80    21      77        64        32       
122)  Jbbjlslfhk 26    58      88        100       57       
123)  Cimsvwdrn  20    50      46        95        93       
124)  Cfjnvccx   34    49      32        40        42       
125)  Siqs       40    72      55        32        63       
126)  Rzxw       78    31      54        62        98       
127)  Jtkdfx     60    48      21        34        32       
128)  Jtmvyfgqmm 65    57      100       57        82       
129)  Qyonum     32    26      32        56        72       
130)  Mntjr      88    36      40        93        40       
131)  Ismmsmbp   45    40      80        100       39       
132)  Iwctjvd    64    68      92        71        34       
133)  Fparvsoneo 37    67      87        61        25       
134)  Xtfr       69    41      70        89        30       
135)  Xmemkfryp  74    82      70        96        55       
136)  Hovistytu  87    69      39        50        65       
137)  Kcdqghwwx  36    72      27        31        66       
138)  Acxyh      56    36      50        56        93       
139)  Krkmext    39    37      45        89        95       
140)  Sfeuxxfjqw 52    24      88        53        82       
141)  Ukjvu      93    83      69        78        99       
142)  Jjaebhid   56    91      63        61        62       
143)  Fzwl       69    23      56        48        91       
144)  Jyjvpoe    52    74      81        36        48       
145)  Yqln       98    49      82        75        40       
146)  Wrntely    57    40      90        23        86       
147)  Qeqvytvceg 98    69      86        74        42       
148)  Lychs      72    23      41        39        97       
149)  Jxpp       28    49      21        65        68       
150)  Hemzfgq    89    23      54        65        53       
151)  Nmzbe      71    43      78        35        36       
152)  Kfdjpyj    54    94      35        23        56       
153)  Bargpymfp  70    63      80        62        62       
154)  Bwoij      81    26      37        24        32       
155)  Uqbgkavm   86    21      44        76        79       
156)  Aikdld     91    48      95        41        41       
157)  Ucypt      44    53      65        70        82       
158)  Rsffbh     49    97      33        59        69       
159)  Kwoo       30    30      93        87        76       
160)  Dbgdyhtuc  82    76      83        56        63       
161)  Aghdwl     54    91      25        70        32       
162)  Udeyehgqn  73    100     43        62        67       
163)  Lwcxhr     71    24      61        68        22       
164)  Ltwoes     34    65      77        80        37       
165)  Dqjjqwepn  90    77      34        66        24       
166)  Yvyzsqnw   25    94      40        91        66       
167)  Rpoyotz    66    88      81        60        83       
168)  Pqsv       76    58      96        90        93       
169)  Zaiqcsyzq  23    92      72        91        76       
170)  Prrigbpgyn 83    88      85        87        68       
171)  Cnlsq      35    91      20        73        47       
172)  Bhgaau     73    76      39        37        77       
173)  Fwakbttbsk 35    74      27        30        44       
174)  Jqocg      71    80      27        99        25       
175)  Dddcqzn    88    99      59        85        90       
176)  Alxngxcgbv 25    40      57        78        95       
177)  Wsigbkr    62    26      43        51        71       
178)  Ehvt       90    50      75        59        91       
179)  Psax       42    57      91        47        44       
180)  Phoxpeps   73    29      25        81        93       
181)  Stjbzabugk 41    54      28        69        42       
182)  Ynsyia     22    71      57        75        64       
183)  Wahekh     54    96      69        22        23       
184)  Dasdqv     82    68      27        40        52       
185)  Mlas       26    34      29        84        33       
186)  Inwo       71    52      96        69        56       
187)  Nmcu       56    27      86        63        72       
188)  Dhgggu     82    24      82        82        71       
189)  Xxcyuflo   85    64      28        21        28       
190)  Rlqe       35    31      21        60        63       
191)  Aglluyiqnn 89    73      58        47        30       
192)  Bfiikm     28    28      85        58        52       
193)  Cmlmnbtjg  79    54      46        20        48       
194)  Qzkdgje    86    92      31        95        40       
195)  Phoxeyll   45    56      81        54        77       
196)  Vtboyhl    88    84      31        57        38       
197)  Pltl       59    43      86        28        38       
198)  Bslupmzm   80    77      43        59        55       
199)  Okavrxcybo 93    80      67        60        28       
200)  Wyomqg     56    26      99        50        73       
201)  Smzkhw     97    61      60        88        36       
202)  Yvirflscuu 65    35      90        93        46       
203)  Razlbzhsh  85    70      73        30        45       
204)  Qvtccfet   53    81      41        45        79       
205)  Stwzktjfnw 20    54      29        78        48       
206)  Tqxgffm    46    23      32        78        26       
207)  Hnmgxsjhq  56    88      88        62        84       
208)  Dahwrn     54    69      51        42        27       
209)  Clyeyvkeeg 72    74      92        33        38       
210)  Dvgqpfex   55    92      54        52        90       
211)  Kfcncrr    60    57      96        100       92       
212)  Twklvi     65    26      79        60        26       
213)  Vjxvvftq   65    56      37        72        88       
214)  Nsrhvrkia  47    100     97        81        67       
215)  Nvpesq     26    31      72        38        89       
216)  Bvts       52    68      38        75        84       
217)  Qnshhtazi  92    85      26        92        65       
218)  Wfzcxpz    30    27      44        21        54       
219)  Kjmcidqmyd 58    59      29        82        28       
220)  Tusbqchq   42    100     92        71        88       
221)  Ltkfgzk    25    93      99        59        22       
222)  Fjapgaifl  41    41      65        55        84       
223)  Hwshefcp   42    57      31        83        73       
224)  Ymrhvp     47    26      45        81        53       
225)  Ihijnec    62    35      54        52        22       
226)  Kkliosb    22    85      28        27        23       
227)  Ijveezc    32    60      33        94        65       
228)  Kmenzdxxu  95    45      82        94        34       
229)  Mbznov     96    48      100       92        99       
230)  Tkrnj      58    33      51        39        55       
231)  Ydnubrxq   56    90      78        71        61       
232)  Wvakkxwd   98    71      36        26        20       
233)  Qiix       93    42      90        51        45       
234)  Txfdbqpu   54    24      68        23        61       
235)  Ggwhgsoast 80    60      95        45        93       
236)  Hyylo      53    33      33        28        39       
237)  Jhecox     44    82      85        48        26       
238)  Avco       28    38      74        40        36       
239)  Rqmcwinlga 61    37      91        100       68       
240)  Iumaggmxzu 35    84      100       61        60       
241)  Dtgvta     75    41      60        21        24       
242)  Xboygoljey 100   50      73        30        60       
243)  Anquavwblk 33    31      60        69        55       
244)  Xvkwwv     90    27      62        87        23       
245)  Mgtiw      68    68      38        58        56       
246)  Pcwaajth   58    99      78        37        64       
247)  Aajsqt     79    29      82        55        94       
248)  Rjsys      26    98      80        84        53       
249)  Lmsovbesl  49    75      79        63        71       
250)  Sfnznvwitz 67    79      22        92        76       
251)  Dabvorvgf  55    44      73        83        88       
252)  Jpekuybok  24    77      60        67        24       
253)  Sjeqbonlhp 52    90      29        92        46       
254)  Ozeq       90    86      57        93        82       
255)  Vmbmpyn    83    33      84        82        86       
256)  Hjiseljcrf 41    23      34        75        43       
257)  Qtzch      24    20      26        55        25       
258)  Kvwx       41    50      56        91        100      
259)  Jrgtjfghl  35    57      65        49        88       
260)  Llvrfji    59    100     29        25        91       
261)  Wqjack     28    75      97        67        27       
262)  Lzwyicusph 98    29      67        26        81       
